size,Spark-cache,err1,SparkSer-cache,err2,Deca-cache,err3
40GB,39.1,1,34.1,1,22.4,1
60GB,39.1,1,45.5,1,31.5,1
80GB,81.8,1,63.6,1,46.6,1
100GB,96.8,1,76.3,1,55.9,1
200GB,174.7,1,156.9,1,85.2,1
