number,size,Deca(origin)-GC,err1,Deca(VST)-GC,err2
0,LJ(2GB),1,0.05,0.1,0.005
1,WB(30GB),22.69,1.1,0.5,0.025
2,HB(60GB),90.96,4.5,3.35,0.175

