number,size,Spark-exec,err1,SparkSer-exec,err2,Deca-exec,err3
0,LJ(2GB),76,1,80,1,72,1
1,WB(30GB),4800,1,3192,1,828,1
2,HB(60GB),12000,1,10668,1,1884,1
