number,size,Spark-exec,err1,SparkSer-exec,err2,Deca-exec,err3
0,40GB,121,0.01,307,0.05,94,0.01
1,60GB,1140,0.2,462,0.1,130,0.01
2,80GB,2820,0.5,1017,0.1,176,0.01
3,100GB,6072,1,1884,0.3,241,0.01
4,200GB,15174,2,2394,0.5,493,0.02
