size,Spark-cache,SparkSer-cache,Deca-cache
40GB,43.1,32.6,23.1
60GB,64.5,49.9,35.4
80GB,85.9,65.1,46.3
100GB,103.7,81.4,57.8
200GB,182.7,166.9,87
