size,Spark-cache,err1,SparkSer-cache,err2,Deca-cache,err3
40GB,43.1,3,32.6,3,23.1,3
60GB,64.5,3,49.9,3,35.4,3
80GB,85.9,3,65.1,3,46.3,3
100GB,103.7,3,81.4,3,57.8,3
200GB,182.7,3,166.9,3,87,3
