number,size,Spark-exec,err1,SparkSer-exec,err2,Deca-exec,err3
0,40GB,93,0.045,98,0.04,74,0.03
1,80GB,423,0.2,681,0.25,345,0.1

2,40GB,521,0.25,572,0.2,243,0.09
3,80GB,2124,1,2455,0.9,464,0.25


