number,size,Spark-exec,err1,SparkSer-exec,err2,Deca-exec,err3
0,LJ(2GB),52,0.0025,50,0.0025,68,0.003
1,WB(30GB),2088,0.1,1704,0.085,780,0.039
2,HB(60GB),4392,0.21,3312,0.15,1524,0.07
